ILCE,alan_metrekare
ÜSKÜDAR,27882.01473495131
KAĞITHANE,73996.01631311109
BEYOĞLU,5929.038158600077
EYÜPSULTAN,289719.2313867208
PENDİK,3970.2025482757153
ŞİLE,2794.049855451743
BEYKOZ,2103.2404731441206
BEŞİKTAŞ,13924.920225527023
EYÜPSULTAN,8865.918294508623
PENDİK,20913.208554075813
FATİH,522.3025746449478
BAŞAKŞEHİR,41760.23609657519
FATİH,111863.29398626811
BAKIRKÖY,81733.23287019202
BAKIRKÖY,12570.55357375789
BAKIRKÖY,20749.558332932575
BAKIRKÖY,89246.08944044064
ÜSKÜDAR,9042.390461794497
BAYRAMPAŞA,143342.47729348188
BAYRAMPAŞA,3790.312979341002
SARIYER,9064.89523824432
PENDİK,29644.447661009297
SANCAKTEPE,4670.0714272305295
KÜÇÜKÇEKMECE,5642.1406120793
MALTEPE,18986.393134393373
ARNAVUTKÖY,1347.387713068158
SARIYER,441.4104846242388
ZEYTİNBURNU,56597.49585213842
ÇATALCA,1640.6329411400372
KARTAL,16261.440939599026
TUZLA,52034.2126693642
ÜMRANİYE,4512.256166920275
BAŞAKŞEHİR,10273.347792367711
BÜYÜKÇEKMECE,32839.163464711026
ESENYURT,49851.3618304936
SİLİVRİ,80348.59128892208
SARIYER,2931.8198371435287
TUZLA,1612160.2040353147
FATİH,19189.30261593465
BÜYÜKÇEKMECE,330648.1818260098
ŞİLE,3517.754670874064
KARTAL,4934.716874062229
EYÜPSULTAN,444408.2148755387
BEYLİKDÜZÜ,8782.051423781328
BAHÇELİEVLER,21831.321853577923
ŞİLE,2368.7472636763264
AVCILAR,190080.11950495193
BEYOĞLU,44240.60922042949
ŞİLE,2564.4996954541784
ÜSKÜDAR,2090.849080696701
BEYKOZ,5549.6346156294885
ATAŞEHİR,6142.748907266138
ŞİLE,2030.6683866347928
SARIYER,20636.66591779115
BEYKOZ,2444.426060392918
BEYKOZ,54993.563606556025
TUZLA,152017.19243220385
BAĞCILAR,14185.50872690303
ÜSKÜDAR,2631.771702786231
ÇEKMEKÖY,331273.9482093742
TUZLA,6599.5491785176755
GAZİOSMANPAŞA,2702.039325611122
FATİH,1130.6320160152954
SARIYER,10194.903453417957
ÇATALCA,118835.83085015276
TUZLA,16013.297640182962
BAŞAKŞEHİR,26986.617244955836
PENDİK,6596.8720322143245
ARNAVUTKÖY,5977.482230719699
PENDİK,7888.981170445349
MALTEPE,15820.218279304616
ADALAR,2748.519653539389
SİLİVRİ,35793.8857779957
FATİH,31182.085964804755
ÜSKÜDAR,16567.50694162371
AVCILAR,1376.8625504756892
ÜSKÜDAR,9125.585215670926
KAĞITHANE,23467.435621739147
SARIYER,4109.226912422437
BEŞİKTAŞ,23391.416672807176
ÜSKÜDAR,2880.6613786475023
MALTEPE,10498.856761165029
ŞİLE,3496.1951838901364
ÜMRANİYE,25284.981412458037
KAĞITHANE,72756.32954436146
SULTANGAZİ,173749.4394489094
SARIYER,1269.0441674401561
PENDİK,26284.44529551493
SULTANGAZİ,1138.6051571392752
BAYRAMPAŞA,14666.670624460101
BAYRAMPAŞA,233534.2302746619
BEYLİKDÜZÜ,42537.99580310475
ŞİŞLİ,2464.7605524612327
ATAŞEHİR,21323.316775551073
BEYOĞLU,1848.8953255643773
KÜÇÜKÇEKMECE,10547.141520990068
ESENLER,12137.582634914068
PENDİK,19326.82814061793
SARIYER,2310.8827279618927
EYÜPSULTAN,1604.3512215367
BAKIRKÖY,85.31471598564332
KÜÇÜKÇEKMECE,34122.46825405208
BEYOĞLU,28506.2344664432
BEYOĞLU,6555.217980547373
TUZLA,6134.767357907534
ŞİŞLİ,862.0409024294831
ŞİLE,2371.2983024937084
BEYKOZ,4025.1654028987555
SANCAKTEPE,4202.196299962569
BEYKOZ,3873.040270609297
SARIYER,16867.731538996533
BEYKOZ,2571.9073984685538
BEŞİKTAŞ,88889.94222811081
ÜSKÜDAR,44851.4212187605
BEYKOZ,17287.3716384196
BEYKOZ,54299.75088050687
BAŞAKŞEHİR,6212.130349878555
ÜSKÜDAR,205836.08500984233
PENDİK,2196.7077257673604
PENDİK,5285.527303277361
SİLİVRİ,2879.5050300921557
BEYKOZ,4500.798385895697
BAYRAMPAŞA,8597.25274736063
SARIYER,52931.84470517362
ŞİLE,4626.944583165944
BEŞİKTAŞ,1675.6494136466458
TUZLA,121102.99581770111
BAĞCILAR,3070.01468559788
AVCILAR,13223.267667154127
ZEYTİNBURNU,99520.01558649019
ŞİLE,659.5315499937603
ŞİLE,1064.9338952394276
KARTAL,1674.457497286916
SİLİVRİ,2541.304667688131
FATİH,29798.62862000541
FATİH,2346.024201220321
BAHÇELİEVLER,6186.776593186381
BEŞİKTAŞ,1351.3845155222853
BEYLİKDÜZÜ,52280.38190449492
ARNAVUTKÖY,572.0122730227091
SANCAKTEPE,83817.08535423194
SULTANGAZİ,2768.1541148438105
BAKIRKÖY,106974.02001082484
BAŞAKŞEHİR,2404.133672426801
KAĞITHANE,19159.847337630625
MALTEPE,20880.796422283496
BAKIRKÖY,6711.507539585999
PENDİK,93441.60936181668
ESENLER,14743.287768506249
KARTAL,91498.7129134375
SİLİVRİ,1464.0597292954674
ŞİLE,2793.5642322303247
SARIYER,20259.325860119203
SARIYER,1962.5792627920425
PENDİK,60029.63554545476
EYÜPSULTAN,6025.253924524732
BAKIRKÖY,1269.0304748213266
BAŞAKŞEHİR,132175.9068045667
BAŞAKŞEHİR,15222.744406664426
BEYLİKDÜZÜ,25235.829363389996
ÜSKÜDAR,3111.642132179119
AVCILAR,26887.816109661937
ŞİLE,363.10810643155094
AVCILAR,8001.948010654489
SARIYER,34458.732175132325
ESENLER,384.1634734883369
KARTAL,32313.7544146463
PENDİK,8893.75930298887
PENDİK,571.1585695159357
TUZLA,14400.711755723063
SİLİVRİ,137960.8668441654
FATİH,68784.40511867111
KARTAL,3537.459688891821
