Durak Adı,İlçe
SULTANGAZİ DEVLET HASTANESİ TAKSİ,Sultangazi
Merkez Taksi durağı,Silivri
USKUMRUKÖY DÖRTYOL TAKSİ,Sarıyer
İNÖNÜ MERKEZ TAKSİ,Ataşehir
SEBA OFİS BULVAR TAKSİ,Sarıyer
KOZDERE TAKSİ,Sarıyer
VADİSTANBUL Avm içi,Sarıyer
ORUÇLAR TAKSİ,Kadıköy
ERESİN OTEL TAKSİ,Fatih
CROWN PLAZA HOTEL TAKSİ,Fatih
VIALAND AVM İÇİ,Eyüpsultan
HARAMİDERE GEÇİT TAKSİ 1,Esenyurt
TEKSTİLKENT KOZA PLAZA TAKSİ,Esenler
KOZA TAKSİ DURAĞI,Esenyurt
VİLLA TAKSİ,Çekmeköy
ERGUVAN TAKSİ,Çatalca
ALKENT TAKSİ,Büyükçekmece
ÇİÇEK TAKSİ,Beykoz
DERBENT KÜLTÜR TAKSİ,Sarıyer
SİTE TAKSİ,Beşiktaş
ALTAYÇEŞME TAKSİ-2,Maltepe
ŞEN TAKSİ-2,Kadıköy
STAR TAKSİ,Kadıköy
EVORA PARK SİTE TAKSİ,Tuzla
KARADENİZ TAKSİ,Kadıköy
OYAK SİTESİ GÜL TAKSİ,Sarıyer
SARAY TAKSİ,Kartal
BEYAZIT MEYDAN TAKSİ,Fatih
