Proje Adı,İstasyon Adı,İlçe
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Kazlıçeşme,Zeytinburnu
M5 Üsküdar - Çekmeköy Metro Hattı,Altınşehir,Ümraniye
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Yenikapı,Fatih
M5 Üsküdar - Çekmeköy Metro Hattı,Altunizade,Üsküdar
M5 Üsküdar - Çekmeköy Metro Hattı,Ihlamurkuyu,Ümraniye
M5 Üsküdar - Çekmeköy Metro Hattı,Çekmeköy,Çekmeköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Göztepe,Kadıköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Tuzla,Tuzla
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,İDO,Kadıköy
M4 Kadıköy - SGH Metro Hattı,Hastane - Adliye,Kartal
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Osmanbey,Şişli
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Topkapı - Ulubatlı,Fatih
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Merter,Güngören
T1 Kabataş - Bağcılar Tramvay Hattı,Cevizlibağ,Zeytinburnu
M4 Kadıköy - SGH Metro Hattı,Esenkent,Maltepe
M9 Bahariye - Olimpiyat Metro Hattı,Ziya Gökalp Mahallesi,Başakşehir
M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Nispetiye,Beşiktaş
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Turgut Özal,Başakşehir
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Emniyet - Fatih,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Bosna Çukurçeşme,Bayrampaşa
M4 Kadıköy - SGH Metro Hattı,Göztepe,Üsküdar
T1 Kabataş - Bağcılar Tramvay Hattı,Akşemsettin,Zeytinburnu
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Yenikapı,Fatih
M1B Yenikapı - Kirazlı Metro Hattı,Üçyüzlü,Bağcılar
T1 Kabataş - Bağcılar Tramvay Hattı,Beyazıt,Fatih
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Zeytinburnu,Bakırköy
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Cumhuriyet Mah.,Esenler
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Dünya  Ticaret Merkezi,Bakırköy
M5 Üsküdar - Çekmeköy Metro Hattı,Yamanevler,Ümraniye
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Feneryolu,Kadıköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Kaynarca,Pendik
M7 Yıldız - Mahmutbey Metro Hattı,Nurtepe,Kağıthane
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Aydıntepe,Tuzla
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Cevizli,Kartal
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Yenimahalle,Bakırköy
M7 Yıldız - Mahmutbey Metro Hattı,Alibeyköy,Eyüpsultan
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Başak,Kartal
T1 Kabataş - Bağcılar Tramvay Hattı,Eminönü,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Topçular,Eyüpsultan
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Bahçelievler,Bahçelievler
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Terazidere,Esenler
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,İskele,Kadıköy
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Sağmalcılar,Bayrampaşa
T4 Topkapı - Mescid-i Selam Tramvay Hattı,50.Yıl,Esenler
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Sanayi Mah.,Beşiktaş
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Sarıgazi,Sancaktepe
M8 Bostancı - Dudullu Metro Hattı,Mevlana,Ataşehir
M7 Yıldız - Mahmutbey Metro Hattı,Fulya,Beşiktaş
M7 (U2) Kabataş - Mecidiyeköy Metro Hattı,Beşiktaş,Beşiktaş
M7 Yıldız - Mahmutbey Metro Hattı,Yıldız,Beşiktaş
M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Esenyurt Meydanı,Esenyurt
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Seyrantepe,Sarıyer
T1 Kabataş - Bağcılar Tramvay Hattı,Akıncılar,Güngören
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Ayvansaray,Fatih
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Eyüpsultan Devlet Hastanesi,Eyüpsultan
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Silahtarağa Mahallesi,Eyüpsultan
F2 Karaköy - Beyoğlu Tünel Füniküler Hattı,Karaköy,Beyoğlu
F2 Karaköy - Beyoğlu Tünel Füniküler Hattı,Tünel,Beyoğlu
M9 Bahariye - Olimpiyat Metro Hattı,İkitelli Sanayi,Başakşehir
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Çayırova,
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Fatih,
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Osmangazi,
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Darıca,
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Gebze,
TF2 Eyüp - Pier Loti Teleferik Hattı,Pier Loti,Eyüpsultan
TF2 Eyüp - Pier Loti Teleferik Hattı,Eyüp,Eyüpsultan
TF1 Maçka - Taşkışla Teleferik Hattı,Maçka,Şişli
TF1 Maçka - Taşkışla Teleferik Hattı,Taşkışla,Şişli
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Hasdal,Eyüpsultan
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Yeni Havalimanı - 2,Arnavutköy
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Yeni Havalimanı - 3,Arnavutköy
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Yeni Havalimanı - 1,Arnavutköy
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Göktürk,Eyüpsultan
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,İhsaniye,Eyüpsultan
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Kemerburgaz,Eyüpsultan
M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Kağıthane,Kağıthane
F4 Rumeli Hisarüstü - Aşiyan Füniküler Hattı,Rumeli Hisarüstü,Beşiktaş
F4 Rumeli Hisarüstü - Aşiyan Füniküler Hattı,Aşiyan,Beşiktaş
M9 (U1) Ataköy -  Bahariye Hattı,Atatürk Mahallesi,Küçükçekmece
"M10 Pendik - SGH Metro Hattı, Pendik - Fevzi Çakmak Etabı",Kaynarca Merkez,Pendik
"M10 Pendik - SGH Metro Hattı, Pendik - Fevzi Çakmak Etabı",Pendik,Pendik
Gayrettepe - İstanbul Havalimanı Metro Hattı,Gayrettepe,Şişli
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Veysel Karani,Sancaktepe
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Sancaktepe Şehir Hastanesi,Sancaktepe
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Sultanbeyli,Sultanbeyli
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Hasanpaşa,Sultanbeyli
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Sancaktepe,Sancaktepe
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Meclis,Sancaktepe
M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Samandıra Merkez,Sancaktepe
M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Kaynarca Merkez,Pendik
M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Esenyalı,Pendik
M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Çamçeşme,Pendik
