ILCE,alan_metrekare
BÜYÜKÇEKMECE,330648.18182606576
ŞİLE,3517.754670876575
KARTAL,4934.716874073338
EYÜPSULTAN,444408.2148756053
BEYLİKDÜZÜ,8782.051423817069
BAHÇELİEVLER,21831.321853590685
ŞİLE,2368.7472636626126
AVCILAR,190080.119504872
BEYOĞLU,44240.60922038684
ŞİLE,2564.49969546855
ÜSKÜDAR,2090.849080703918
BEYKOZ,5549.634615642592
ATAŞEHİR,6142.748907259843
ŞİLE,2030.6683866334715
SARIYER,20636.665917745464
BEYKOZ,2444.4260603962503
BEYKOZ,54993.56360672013
TUZLA,152017.19243217813
BAĞCILAR,14185.508726923863
ÜSKÜDAR,2631.771702797184
ÇEKMEKÖY,331273.9482093816
TUZLA,6599.549178601723
GAZİOSMANPAŞA,2702.039325605726
FATİH,1130.6320160244993
SARIYER,10194.903453356972
ÇATALCA,118835.83085025715
TUZLA,16013.297640140809
BAŞAKŞEHİR,26986.617244965775
PENDİK,6596.872032122435
ARNAVUTKÖY,5977.482230690136
PENDİK,7888.981170352678
MALTEPE,15820.218279355939
ADALAR,2748.5196535347595
SİLİVRİ,35793.88577807147
FATİH,31182.08596484193
ÜSKÜDAR,16567.50694165192
AVCILAR,1376.8625504600304
ÜSKÜDAR,9125.585215643872
KAĞITHANE,23467.43562165266
SARIYER,4109.2269124084605
BEŞİKTAŞ,23391.416672811793
ÜSKÜDAR,2880.661378640125
MALTEPE,10498.856761126197
ŞİLE,3496.1951839000776
ÜMRANİYE,25284.98141244673
KAĞITHANE,72756.32954429415
SULTANGAZİ,173749.43944879842
SARIYER,1269.0441674426652
PENDİK,26284.445295489142
SULTANGAZİ,1138.6051571575968
BAYRAMPAŞA,14666.670624462848
BAYRAMPAŞA,233534.2302745551
BEYLİKDÜZÜ,42537.99580287688
ŞİŞLİ,2464.7605524777887
ATAŞEHİR,21323.316775567593
BEYOĞLU,1848.8953255577842
KÜÇÜKÇEKMECE,10547.141520966423
ESENLER,12137.582634970693
PENDİK,19326.828140643425
SARIYER,2310.882727973385
EYÜPSULTAN,1604.3512215081164
BAKIRKÖY,85.31471598764699
KÜÇÜKÇEKMECE,34122.468254029816
BEYOĞLU,28506.23446644898
BEYOĞLU,6555.217980560805
TUZLA,6134.767357910736
ŞİŞLİ,862.04090237677
ŞİLE,2371.298302521107
BEYKOZ,4025.1654029011643
SANCAKTEPE,4202.196299973164
BEYKOZ,3873.040270616284
SARIYER,16867.731539008997
BEYKOZ,2571.9073984704482
BEŞİKTAŞ,88889.94222794438
ÜSKÜDAR,44851.42121874873
BEYKOZ,17287.371638437664
BEYKOZ,54299.75088055161
BAŞAKŞEHİR,6212.130349885255
ÜSKÜDAR,205836.0850098436
PENDİK,2196.7077257838687
PENDİK,5285.527303293247
SİLİVRİ,2879.505030109767
BEYKOZ,4500.79838590265
BAYRAMPAŞA,8597.252747383176
SARIYER,52931.84470517885
ŞİLE,4626.944583146443
BEŞİKTAŞ,1675.6494136471224
TUZLA,121102.99581770311
BAĞCILAR,3070.014685595495
AVCILAR,13223.267667163633
ZEYTİNBURNU,99520.01558645481
ŞİLE,659.53154999956
ŞİLE,1064.9338952371702
KARTAL,1674.4574972981686
SİLİVRİ,2541.304667656281
FATİH,29798.628620007825
FATİH,2346.0242012076606
BAHÇELİEVLER,6186.776593182465
BEŞİKTAŞ,1351.38451554032
BEYLİKDÜZÜ,52280.38190450536
ARNAVUTKÖY,572.0122730207398
SANCAKTEPE,83817.08535422348
SULTANGAZİ,2768.154114857013
BAKIRKÖY,106974.02001084352
BAŞAKŞEHİR,2404.1336724378602
KAĞITHANE,19159.84733762268
MALTEPE,20880.796422211217
BAKIRKÖY,6711.507539610092
PENDİK,93441.60936177571
ESENLER,14743.287768443099
KARTAL,91498.71291347203
SİLİVRİ,1464.0597292821085
ŞİLE,2793.5642322181743
SARIYER,20259.325860126948
SARIYER,1962.5792628074255
PENDİK,60029.63554546373
EYÜPSULTAN,6025.253924545952
BAKIRKÖY,1269.0304748144406
BAŞAKŞEHİR,132175.90680460207
BAŞAKŞEHİR,15222.744406552167
BEYLİKDÜZÜ,25235.829363405843
ÜSKÜDAR,3111.6421321661974
AVCILAR,26887.81610969575
ŞİLE,363.1081064333197
AVCILAR,8001.948010685618
SARIYER,34458.732175163255
ESENLER,384.16347348819363
KARTAL,32313.754414636565
PENDİK,8893.75930299318
PENDİK,571.1585695090872
TUZLA,14400.711755682765
SİLİVRİ,137960.86684452405
FATİH,68784.40511872932
KARTAL,3537.459688890374
BEYLİKDÜZÜ,17344.916173012607
PENDİK,3007.069256203633
BEYOĞLU,3054.747817060298
KARTAL,145.32010890504958
TUZLA,15330.422374441081
ŞİŞLİ,23020.23395148722
ÇATALCA,14000.426067774264
FATİH,1387.072685532565
KARTAL,49416.325631329615
KARTAL,4857.439910357897
ŞİŞLİ,42745.2483085929
ŞİLE,4241.934524874286
ÜSKÜDAR,111763.26854992338
PENDİK,21542.87904270046
ESENYURT,50738.03124120599
BEYOĞLU,46423.04097662216
BEYOĞLU,23959.662147531213
SİLİVRİ,26006.226232397836
PENDİK,22121.658853517598
SANCAKTEPE,68879.08668745856
ÜMRANİYE,13088.328000473664
ÜMRANİYE,11596.929469858975
ZEYTİNBURNU,225042.28405060738
ÜSKÜDAR,37863.818671913046
BAŞAKŞEHİR,65695.70007005663
ESENLER,38335.21151154113
BAŞAKŞEHİR,5137.307165135351
KÜÇÜKÇEKMECE,84994.79638739837
ESENYURT,80888.24499524587
BEYKOZ,4552.79184973486
PENDİK,71643.37173248937
KARTAL,12212.496966709683
BEYKOZ,5264.911198418585
BEYKOZ,3131.147691974235
ESENYURT,1648.230927714583
BEŞİKTAŞ,22573.999904394623
BEYOĞLU,267.7825218348442
ŞİŞLİ,18152.88186391024
FATİH,568842.6255962932
BEYOĞLU,9800.437321066089
TUZLA,35394.387643547634
KADIKÖY,34505.02330791733
KÜÇÜKÇEKMECE,176170.0296592377
ŞİLE,348.6774263027864
PENDİK,109042.15304387877
BAKIRKÖY,3198.5637270665534
ŞİLE,286.3916609898553
SARIYER,9492.441562126933
BAĞCILAR,29380.447280615925
ÜSKÜDAR,3269.977768708545
ÜSKÜDAR,3635.3872252413944
ŞİLE,297.51687070852284
PENDİK,97108.31366285241
PENDİK,3103.576791018002
KÜÇÜKÇEKMECE,155648.17391278455
BEŞİKTAŞ,4002.5096214225623
KADIKÖY,4461.760186118594
KAĞITHANE,27168.269270298213
EYÜPSULTAN,13281.38444375172
BEYKOZ,947.8735228320287
BAYRAMPAŞA,86736.91270377184
TUZLA,26283.146952682968
ÜMRANİYE,1921.7414998039621
EYÜPSULTAN,41728.14015252059
BAĞCILAR,71865.89101239304
BEŞİKTAŞ,3299.256901112579
SANCAKTEPE,10864.634412122043
SİLİVRİ,3299.8555566507816
PENDİK,1845.526669943184
BAHÇELİEVLER,6835.262351383465
ŞİLE,963.3555093167508
ŞİLE,438.0638028397966
BAKIRKÖY,69171.44979821275
SİLİVRİ,36402.443629072885
BAĞCILAR,2196.3373413612935
GAZİOSMANPAŞA,54199.07123406975
ZEYTİNBURNU,5910.023266727013
SİLİVRİ,565270.3029108798
EYÜPSULTAN,2463.924319355609
ŞİLE,7479.24504092423
PENDİK,227.65324553911057
KADIKÖY,213571.47676232475
PENDİK,2506.5499671618873
SARIYER,1072.1731897257991
ŞİLE,1609.3440960320252
ÜSKÜDAR,899.5676934901539
BEYKOZ,1333.9021814175737
ESENYURT,60807.540840138565
AVCILAR,584.2971469135318
BEYLİKDÜZÜ,2132.644359424208
BÜYÜKÇEKMECE,462.2511739625587
KADIKÖY,43813.12439928317
AVCILAR,3552.1886474101348
ÜMRANİYE,20591.003860902805
ÜMRANİYE,26993.434008346965
ÜSKÜDAR,10868.987549945065
EYÜPSULTAN,10423.453584172878
FATİH,8850.784443617533
BAŞAKŞEHİR,91535.48718777197
EYÜPSULTAN,3601.228526122891
SULTANBEYLİ,2816.910725462169
BEYKOZ,81096.75397484146
BAKIRKÖY,70973.95322249952
KARTAL,1067.2531920458684
BAKIRKÖY,177231.87374381325
ÜMRANİYE,6808.9861987220775
KAĞITHANE,50347.74227478335
BEYKOZ,8671.240131682907
KARTAL,8052.344126816888
ESENYURT,2664.595781275577
ÇATALCA,15215.059282691476
SARIYER,1039.329561913261
PENDİK,640.4828442626255
KARTAL,13354.616720197086
KADIKÖY,90120.68750920777
PENDİK,84269.89401988813
KARTAL,1258.9943369816563
FATİH,24766.81933113638
ÜSKÜDAR,6946.513558675755
SİLİVRİ,66527.44963474176
FATİH,1111.383678765153
KAĞITHANE,13601.427103780252
PENDİK,150763.62657210446
BÜYÜKÇEKMECE,107109.8052156809
ESENLER,157872.5353844557
ÇATALCA,50490.9091396333
SARIYER,86811.49072070152
